ano_saldo,mes_saldo,cuenta_contable_codigo,centro_costo_codigo,debito_fisc_local,debito_fisc_dolar
2014,1,205-007-000-000,040-002-010,648536.77,1277.15
2014,1,205-007-000-000,040-002-010,648536.77,1277.15
2014,1,205-007-000-000,040-002-010,369787.58,728.22
2014,1,205-007-000-000,040-002-010,369787.57,728.21
2014,2,205-007-000-000,001-011-000,690817.75,1295
2014,2,205-007-000-000,001-006-000,690817.75,1295
2014,3,205-007-000-000,001-003-000,215525.63,405.23
2014,3,205-007-000-000,010-001-000,186725.66,348.77
2014,3,205-007-000-000,030-001-000,122500,222.96
2014,3,205-007-000-000,010-001-000,225016.11,405.23
2014,3,205-007-000-000,010-001-000,2726397.03,4909.95
2014,3,205-007-000-000,010-001-000,2726397.04,4909.95
2014,5,205-007-000-000,001-001-000,308992.85,565
2014,5,205-007-000-000,001-001-000,308992.85,565
2014,5,205-007-000-000,050-001-000,224224.9,410
2014,5,205-007-000-000,010-001-000,1219469.68,2236
2014,5,205-007-000-000,040-021-006,2060000,3783.84
2014,6,205-007-000-000,040-001-000,297824.86,544.38
2014,6,205-007-000-000,040-001-000,297824.85,544.38
2014,6,205-007-000-000,010-001-000,250000,454.49
2014,6,205-007-000-000,010-001-000,250000,454.49
2014,6,205-007-000-000,010-001-000,250000,454.48
2014,6,205-007-000-000,010-001-000,160000,290.87
2014,6,205-007-000-000,010-001-000,364589.71,667.49
2014,6,205-007-000-000,010-001-000,875811.04,1601
2014,6,205-007-000-000,010-001-000,466464.96,863.92
2014,7,205-007-000-000,050-001-000,694534.4,1295
2014,7,205-007-000-000,001-004-000,279030.51,524.06
2014,8,205-007-000-000,010-001-000,698825.16,1308
2014,9,205-007-000-000,001-001-000,608727.16,1139
2014,9,205-007-000-000,001-003-000,523751.2,980
2014,9,205-007-000-000,001-003-000,523751.2,980
2014,9,205-007-000-000,001-006-000,523751.2,980
2014,9,205-007-000-000,001-006-000,523751.2,980
2014,9,205-007-000-000,001-001-000,523751.2,980
2014,9,205-007-000-000,001-011-000,523751.2,980
2014,9,205-007-000-000,001-011-000,176365.2,330
2014,9,205-007-000-000,010-001-000,608727.16,1139
2014,9,205-007-000-000,010-001-000,608727.16,1139
2014,9,205-007-000-000,010-001-000,523751.2,980
2014,9,205-007-000-000,010-001-000,5300575.92,9918
2014,9,205-007-000-000,010-001-000,4319344.08,8082
2014,9,205-007-000-000,010-001-000,523751.2,980
2014,9,205-007-000-000,030-001-000,523751.2,980
2014,9,205-007-000-000,030-001-000,523751.2,980
2014,9,205-007-000-000,030-001-000,523751.2,980
2014,9,205-007-000-000,030-001-000,523751.2,980
2014,9,205-007-000-000,040-001-000,523751.2,980
2014,9,205-007-000-000,040-001-000,523751.2,980
2014,9,205-007-000-000,040-002-001,523751.2,980
2014,9,205-007-000-000,040-002-012,523751.2,980
2014,9,205-007-000-000,040-002-012,523751.2,980
2014,9,205-007-000-000,040-002-016,523751.2,980
2014,9,205-007-000-000,040-021-001,523751.2,980
2014,9,205-007-000-000,040-021-006,523751.2,980
2014,9,205-007-000-000,050-001-000,523751.2,980
2014,9,205-007-000-000,050-001-000,725235.08,1357
2014,9,205-007-000-000,060-001-000,933666.68,1747
2014,9,205-007-000-000,060-001-000,933666.68,1747
2014,9,205-007-000-000,060-001-000,933666.68,1747
2014,9,205-007-000-000,060-001-000,176365.2,330
2014,9,205-007-000-000,060-001-000,523751.2,980
2014,9,205-007-000-000,060-001-000,523751.2,980
2014,9,205-007-000-000,095-001-000,523751.2,980
2014,9,205-007-000-000,095-001-000,523751.2,980
2014,9,205-007-000-000,095-001-000,523751.2,980
2014,9,205-007-000-000,095-001-000,523751.2,980
2014,9,205-007-000-000,095-001-000,523751.2,980
2014,9,205-007-000-000,095-001-000,523751.2,980
2014,9,205-007-000-000,095-001-000,523751.2,980
2014,9,205-007-000-000,001-004-000,585819.94,1097
2014,9,205-007-000-000,010-001-000,1118022.3,2040.75
2014,10,205-007-000-000,001-001-000,389335.5,729.12
2014,10,205-007-000-000,001-006-000,512620.8,960
2014,11,205-007-000-000,010-001-000,341367673.3,648076.23
2014,11,205-007-000-000,040-002-010,595455.79,1092.8
2014,12,205-007-000-000,001-003-000,695811.6,1320
2014,12,205-007-000-000,001-001-000,606199.5,1150
2014,12,205-007-000-000,010-001-000,606199.5,1150
2014,12,205-007-000-000,010-001-000,606199.5,1150
2014,12,205-007-000-000,040-001-000,606199.5,1150
2014,12,205-007-000-000,050-001-000,606199.5,1150
2014,12,205-007-000-000,095-001-000,606199.5,1150
2014,12,205-007-000-000,001-004-000,721113.84,1368
2014,12,205-007-000-000,010-001-000,7855578,14900
2014,12,205-007-000-000,010-001-000,1750660.78,3322
2014,12,205-007-000-000,010-001-000,1750660.78,3322
2014,12,205-007-000-000,010-001-000,1750660.78,3322
2014,12,205-007-000-000,010-001-000,1750660.78,3322
2014,12,205-007-000-000,010-001-000,1750660.78,3322
2014,12,205-007-000-000,010-001-000,1661072.48,3152
2014,12,205-007-000-000,010-001-000,1661072.48,3152
2014,12,205-007-000-000,010-001-000,5272200,10000
2015,2,205-007-000-000,030-001-000,585000,1102.19
2015,2,205-007-000-000,001-001-000,1211043.6,2290
2015,2,205-007-000-000,010-001-000,109300,205.62
2015,2,205-007-000-000,010-001-000,109300,205.61
2015,3,205-007-000-000,030-001-000,425000,807.29
2015,3,205-007-000-000,030-001-000,255000,484.38
2015,3,205-007-000-000,030-001-000,255000,484.38
2015,3,205-007-000-000,030-001-000,225000,427.39
2015,3,205-007-000-000,030-001-000,245000,465.38
2015,3,205-007-000-000,030-001-000,229005.75,435
2015,3,205-007-000-000,030-001-000,229005.75,435
2015,3,205-007-000-000,010-001-000,137446.4,260
2015,3,205-007-000-000,040-002-003,769132.93,1454.79
