ano,mes,tipo,metrica,id_cliente,nombre_cliente,monto_local,monto_dolar
2015,1,ADMINISTRADORA,presupuesto,ZF980415,EUROCENTER INMOBILIARIA DE COSTA RICA ECR S.A.,485680.5,875.1
2015,1,ADMINISTRADORA,presupuesto,ZF980507,F.T.Z. COCA COLA PARK ADMINISTRATOR L.T.D.A.,408764.44,736.51
2015,1,ADMINISTRADORA,presupuesto,ZF980511,ALMACENES ATALANTA S.A.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF980601,PARQUE BIOTECNOLOGICO S.A.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF980609,INTEL FREE TRADE ZONE PARK S.A,336686.14,606.64
2015,1,ADMINISTRADORA,presupuesto,ZF980614,PARQUE INDUSTRIAL Y DE SERVICIOS COYOL S.A.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF980616,BATCCA PARK INVERSIONES INMOBILIARIAS S.A.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF980622,ULTRAPARK L.A.G. S.A,632737.68,1140.07
2015,1,ADMINISTRADORA,presupuesto,ZF980630,ZONA FRANCA COYOL S.A.,9524409.39,17161.1
2015,1,ADMINISTRADORA,presupuesto,ZF980702,ZONA FRANCA DEL ESTE (ZFE) S.A.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF980726,ZONA GLOBLAL DOS S.A.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF980728,CIA INVERSIONISTA LAS BRISAS S.A.,191122.91,344.37
2015,1,ADMINISTRADORA,presupuesto,ZF980730,INVERSIONES AFFINKA S.A.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF980732,ADMINISTRADORA PLAZA ROBLE S.A.,209922.81,378.24
2015,1,ADMINISTRADORA,presupuesto,ZF980738,CF FREE ZONE PARK S.R.L.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF980815,COSTA DEL BALSAMO S.A.,273015.27,491.92
2015,1,ADMINISTRADORA,presupuesto,ZF980825,B T CONSULTING AND SERVICES S.A.,2011995.93,3625.22
2015,1,ADMINISTRADORA,presupuesto,ZF981017,CONCENTRIX FREE TRADE ZONE S.A.,194884.92,351.14
2015,1,ADMINISTRADORA,presupuesto,ZF981019,DESARROLLADORA MULTIPARK S.A.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF981021,FLEXIPARK SETENTA Y CINCO PORTHOS S.A.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF981023,GUANAZUL JRV S.A.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF981114,TERRA VEREDA TROPICAL S.A.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF981129,CONDOMINIO PARQUE INDUSTRIAL ZONA FRANCA ALAJUELA,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF981141,ADMINISTRADORA ZONA FRANCA SOLARIUM S.A.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF981233,LINDORA PARK S.A.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF981323,ISIVEN DE CENTROAMERICA C.R. S.A.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF981326,GRUPO DESARROLLADOR DE PARQUES INDUSTRIALES S.A.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF981335,ZONA FRANCA LA LIMA S.R.L.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF988503,INVERSIONES ZETA S.A. (CARTAGO),411257.94,741.01
2015,1,ADMINISTRADORA,presupuesto,ZF988806,ZONA FRANCA METROPOLITANA S.A.,296096.94,533.51
2015,1,ADMINISTRADORA,presupuesto,ZF988813,INVERSIONES ZETA S.A (MONTECILLOS),111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF989019,CORP. DE INVERS. Y DESARROLLO BES S.A.,198196.49,357.11
2015,1,ADMINISTRADORA,presupuesto,ZF989121,INVERSIONES ZETA S.A. (LA VALENCIA),111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF989139,CENTRO DE CIENCIA Y  TECNOLOGIA ULTRAPARK S.A.,1504922.07,2711.57
2015,1,ADMINISTRADORA,presupuesto,ZF989202,ZONA FRANCA PUNTARENAS S.A.,111000,200
2015,1,ADMINISTRADORA,presupuesto,ZF989906,LOS ARALLANES S.A.,2420163.36,4360.65
2015,1,ADMINISTRADORA,presupuesto,ZF989914,CONAIR COSTA RICA S.A.,161195.48,290.44
2015,1,ADMINISTRADORA,presupuesto,ZF989918,ADM.DE PARQUES Z.F.GENESIS S.A.,142321.31,256.43
2015,1,ADMINISTRADORA,presupuesto,ZF981403,MONTARAS DEL NORTE S.A.,193084.5,347.9
2015,1,ADMINISTRADORA,presupuesto,,CRECIMIENTO,-3852817.82,-6942.01
2015,1,COMERCIALIZADORA,presupuesto,ZF150014T,COMPAÛIA INDUSTRIAL ACEITERA COTO 54 S.A.,111000,200
2015,1,COMERCIALIZADORA,presupuesto,ZF200923D,ALIMENTOS BERMUDEZ S.A.,111000,200
2015,1,COMERCIALIZADORA,presupuesto,ZF201225D,COMPAÛIA FRUTERA LA PAZ S.A.,121836.38,219.53
2015,1,COMERCIALIZADORA,presupuesto,ZF209922T,COMPAÛIA MUNDIMAR S.A.,111000,200
2015,1,COMERCIALIZADORA,presupuesto,ZF309529,PFIZER ZONA FRANCA S.A,8254476.37,14872.93
2015,1,COMERCIALIZADORA,presupuesto,ZF309921D,ROCHE SERVICIOS S.A.,11140311.81,20072.63
2015,1,COMERCIALIZADORA,presupuesto,ZF391211D,PRENT AMERICAS C.R. S.R.L.,111000,200
2015,1,COMERCIALIZADORA,presupuesto,ZF391327T,GUALAPACK COSTA RICA S.A.,470504.47,847.76
2015,1,COMERCIALIZADORA,presupuesto,ZF399830D,CSI CLOSURE SYSTEMS MANUFACTURING DE C.A. S.R.L.,111000,200
2015,1,COMERCIALIZADORA,presupuesto,ZF400734D,CONFORMADO DE ELASTOMEROS S.A.,111000,200
2015,1,COMERCIALIZADORA,presupuesto,ZF420727,FLEXIBLE PACKAGING C.R. S.A.,111000,200
2015,1,COMERCIALIZADORA,presupuesto,ZF429534D,GWW INTERNACIONAL S.A.,111000,200
2015,1,COMERCIALIZADORA,presupuesto,ZF449704D,MADERIN ECO S.A.,111000,200
2015,1,COMERCIALIZADORA,presupuesto,ZF481321,ETIPRES ZONA FRANCA S.A.,111000,200
2015,1,COMERCIALIZADORA,presupuesto,ZF730735D,GREIF COSTA RICA S.A.,111000,200
2015,1,COMERCIALIZADORA,presupuesto,ZF850001D,VENTAS F.R. UNO S.A.,122547.94,220.81
2015,1,COMERCIALIZADORA,presupuesto,ZF850022D,L-TRES COMUNICACIONES COSTA RICA S.A.,111000,200
2015,1,COMERCIALIZADORA,presupuesto,ZF850626D,SAMTEC INTERCONNET ASSEMBLY SIA C.R. S.R.L.,288238.42,519.35
2015,1,COMERCIALIZADORA,presupuesto,ZF851317D,ATL TECHNOLOGY C.R. L.T.D.A,535865.21,965.52
2015,1,COMERCIALIZADORA,presupuesto,ZF859207D,C&K COACTIVE S.A.,111000,200
2015,1,COMERCIALIZADORA,presupuesto,ZF859219D,XELTRON S.A.,111000,200
2015,1,COMERCIALIZADORA,presupuesto,ZF859428,COMERCIALIZADORA CENTROAMERICANA GL S.A.,4006667.1,7219.22
