ano,mes,tipo,formulario,metrica,unidades,monto_dolar,monto_local
2014,1,Otros,Declaraci南 Unica Aduanera (TICA),real,48635.19,145905.57,74205953
2014,1,Otros,DUAS Pe凔s Blancas,real,3460,10380,5279152.78
2014,1,Otros,Derechos Electr南icos (FAD),real,25873,77682.21,39553195.71
2014,1,Otros,Marchamos,real,10541,31559.25,16068916.71
2014,1, Exportaci▋ ,Certificado Libre Venta Productos Alimenticios,real,317,948.67,483029.76
2014,1, Exportaci▋ ,Certificado Origen C.E.E.,real,600,1793.43,913155
2014,1, Exportaci▋ ,Certificado Origen S.G.P.,real,1316,3949.71,2011061.91
2014,1, Exportaci▋ ,Registro Exportador Electr南ico,real,416,1248.25,635568.18
2014,1, Exportaci▋ ,Registros Exportadores,real,75,224.95,114539.58
2014,1, Exportaci▋ ,Certificado Libre Venta de Alimentos y Bebidas C.A.,real,295,883.52,449858.79
2014,1, Exportaci▋ ,Certificado EUR-1,real,4650,13928.93,7092145.71
2014,1, Importaci▋ ,Declaraci南 Aduanera Importaci南,real,30,89.57,45605.7
2014,1, Importaci▋ ,Declaraci南 Aduanera Trans.Recep.y Dep.Fiscal,real,209,208.89,106358.84
2014,1, Importaci▋ ,Declaraci南 Valor Aduanas,real,18446,4620.43,2352570.89
2014,1, Importaci▋ ,Formulario Autorizaci南 Desalmacenaje,real,251,753.7,383758.56
2014,1, Importaci▋ ,Pasan Declaraci南 Aduanera Importaci南,real,30,29.86,15201.9
2014,1, Exportaci▋ ,Certificado de Orign para Exportaci南 de banano,real,1929,5806.59,2956523.61
2014,1,Costo,Costo de ventas,real,,-6000.79,-3037538.39
2014,2,Otros,Declaraci南 Unica Aduanera (TICA),real,68256.04,204768.13,108143376
2014,2,Otros,DUAS Pe凔s Blancas,real,7068,21204,11198383.7
2014,2,Otros,Derechos Electr南icos (FAD),real,22380,67189.97,35818381.53
2014,2,Otros,Marchamos,real,9052,27087.31,14440004.97
2014,2, Exportaci▋ ,Certificado Libre Venta Productos Alimenticios,real,273,819.07,436640.25
2014,2, Exportaci▋ ,Certificado Origen C.E.E.,real,0,0,0
2014,2, Exportaci▋ ,Certificado Origen S.G.P.,real,1414,4245.96,2263485.66
2014,2, Exportaci▋ ,Registro Exportador Electr南ico,real,359,1078.4,574883.37
2014,2, Exportaci▋ ,Registros Exportadores,real,60,180.17,96046.71
2014,2, Exportaci▋ ,Certificado Libre Venta de Alimentos y Bebidas C.A.,real,219,654.7,349015.35
2014,2, Exportaci▋ ,Certificado EUR-1,real,2883,8674.62,4624361.55
2014,2, Importaci▋ ,Declaraci南 Aduanera Importaci南,real,148,443.1,236212.26
2014,2, Importaci▋ ,Declaraci南 Aduanera Trans.Recep.y Dep.Fiscal,real,628,629.12,335380.81
2014,2, Importaci▋ ,Declaraci南 Valor Aduanas,real,14773,3686.63,1965310.99
2014,2, Importaci▋ ,Formulario Autorizaci南 Desalmacenaje,real,442,1324.53,706094.79
2014,2, Importaci▋ ,Pasan Declaraci南 Aduanera Importaci南,real,44,44.16,23539.93
2014,2, Exportaci▋ ,Certificado de Orign para Exportaci南 de banano,real,269,804.38,428810.16
2014,2,Costo,Costo de ventas,real,,-5031.55,-2580897.53
2014,3,Otros,Declaraci南 Unica Aduanera (TICA),real,73526,220576.67,118936353.9
2014,3,Otros,DUAS Pe凔s Blancas,real,6420,19260,10385115.26
2014,3,Otros,Derechos Electr南icos (FAD),real,27057,81155.26,43976987.07
2014,3,Otros,Marchamos,real,8928,26811.23,14528661.84
2014,3, Exportaci▋ ,Certificado Libre Venta Productos Alimenticios,real,374,1119.08,606413.64
2014,3, Exportaci▋ ,Certificado Origen C.E.E.,real,4,11.91,6453.96
2014,3, Exportaci▋ ,Certificado Origen S.G.P.,real,1210,3624.35,1963990.17
2014,3, Exportaci▋ ,Registro Exportador Electr南ico,real,351,1054.87,571620.99
2014,3, Exportaci▋ ,Registros Exportadores,real,58,174.46,94537.86
2014,3, Exportaci▋ ,Certificado Libre Venta de Alimentos y Bebidas C.A.,real,164,492.96,267126.45
2014,3, Exportaci▋ ,Certificado EUR-1,real,5287,15879.74,8605026.45
2014,3, Importaci▋ ,Declaraci南 Aduanera Importaci南,real,91,269.18,145864.77
2014,3, Importaci▋ ,Declaraci南 Aduanera Trans.Recep.y Dep.Fiscal,real,150,147.23,79782
2014,3, Importaci▋ ,Declaraci南 Valor Aduanas,real,12535,3148.72,1706250.85
2014,3, Importaci▋ ,Formulario Autorizaci南 Desalmacenaje,real,191,572.53,310247.64
2014,3, Importaci▋ ,Pasan Declaraci南 Aduanera Importaci南,real,30,29.64,16061.4
2014,3, Exportaci▋ ,Certificado de Orign para Exportaci南 de banano,real,888,2634.51,1427606.94
2014,3,Costo,Costo de ventas,real,,-5039.29,-2599787.75
2014,4,Otros,Declaraci南 Unica Aduanera (TICA),real,103855.4,311566.21,167804616.9
2014,4,Otros,DUAS Pe凔s Blancas,real,9520,28560,15356032.27
2014,4,Otros,Derechos Electr南icos (FAD),real,27371,82127.24,44427281.79
2014,4,Otros,Marchamos,real,8167,24486.95,13246380.96
2014,4, Exportaci▋ ,Certificado Libre Venta Productos Alimenticios,real,164,491.97,266132.52
2014,4, Exportaci▋ , Certificado Origen C.E.E. ,real,,0,
2014,4, Exportaci▋ , Certificado Origen S.G.P. ,real,725,2179.42,1178969.61
2014,4, Exportaci▋ , Registro Exportador Electr南ico ,real,268,804.15,435012.57
2014,4, Exportaci▋ , Registros Exportadores ,real,48,143.91,77851.11
2014,4, Exportaci▋ , Certificado Libre Venta de Alimentos y Bebidas C.A. ,real,155,464.62,251341.86
2014,4, Exportaci▋ ,Certificado EUR-1,real,3785,11356.6,6143430.45
2014,4, Importaci▋ , Declaraci南 Aduanera Importaci南 ,real,88,264.29,142967.19
2014,4, Importaci▋ , Declaraci南 Aduanera Trans.Recep.y Dep.Fiscal ,real,385,384.6,208051.57
2014,4, Importaci▋ , Declaraci南 Valor Aduanas ,real,12309,3080.66,1666502.44
2014,4, Importaci▋ , Formulario Autorizaci南 Desalmacenaje ,real,261,782.36,423221.76
2014,4, Exportaci▋ , Declaraci南 Aduanera Exportaci南 ,real,36,107.89,58361.97
2014,4, Importaci▋ , Pasan Declaraci南 Aduanera Importaci南 ,real,90,90.11,48744.05
