CuentaContableCodigo,moneda,mes_saldo,ano_saldo,creditoFiscLocal,debitoFiscLocal,cuenta_contable
105-000-000-000,CRC,12,2014,0,281154784,705719105-000-000-000
137-002-001-000,CRC,12,2014,0,1424960512,705719137-002-001-000
120-000-000-000,CRC,12,2014,0,137399952,705719120-000-000-000
125-000-000-000,CRC,12,2014,0,48277288,705719125-000-000-000
135-020-000-000,CRC,12,2014,0,131690072,705719135-020-000-000
135-021-000-000,CRC,12,2014,0,8224763,705719135-021-000-000
130-000-000-000,CRC,12,2014,0,-131831920,705719130-000-000-000
132-000-000-000,CRC,12,2014,0,45080444,705719132-010-000-000
140-000-000-000,CRC,12,2014,0,5744480,705719140-000-000-000
145-000-000-000,CRC,12,2014,0,21623942,705719145-000-000-000
137-001-000-000,CRC,12,2014,0,7521719296,705719137-001-000-000
137-002-000-000,CRC,12,2014,0,0,705719137-002-000-000
205-000-000-000,CRC,12,2014,0,4930791936,705719205-000-000-000
208-000-000-000,CRC,12,2014,0,-680528704,705719208-000-000-000
290-001-000-000,CRC,12,2014,0,2931408384,705719290-001-000-000
290-004-000-000,CRC,12,2014,0,417847616,705719290-004-000-000
290-002-000-000,CRC,12,2014,0,15331346,705719290-002-000-000
310-000-000-000,CRC,12,2014,0,77399176,705719310-000-000-000
315-000-000-000,CRC,12,2014,0,46810544,705719315-000-000-000
320-000-000-000,CRC,12,2014,0,107909712,705719320-000-000-000
325-000-000-000,CRC,12,2014,0,496576,705719325-000-000-000
505-000-000-000,CRC,12,2014,0,363313888,705719505-000-000-000
515-000-000-000,CRC,12,2014,0,133109080,705719515-000-000-000
520-000-000-000,CRC,12,2014,0,208748960,705719520-000-000-000
525-000-000-000,CRC,12,2014,0,21389396,705719525-000-000-000
530-000-000-000,CRC,12,2014,0,14286124032,705719530-000-000-000
535-000-000-000,CRC,12,2014,0,-137115344,705719535-000-000-000
536-000-000-000,CRC,12,2014,0,41134608,705719536-000-000-000
613-000-000-000,CRC,12,2014,0,1788269056,705719613-000-000-000
105-000-000-000,USD,12,2014,0,527188,705719105-000-000-000
137-002-001-000,USD,12,2014,0,2671918,705719137-002-001-000
120-000-000-000,USD,12,2014,0,257636,705719120-000-000-000
125-000-000-000,USD,12,2014,0,90524,705719125-000-000-000
135-020-000-000,USD,12,2014,0,246930,705719135-020-000-000
135-021-000-000,USD,12,2014,0,15422,705719135-021-000-000
130-000-000-000,USD,12,2014,0,-247196,705719130-000-000-000
132-000-000-000,USD,12,2014,0,84530,705719132-010-000-000
140-000-000-000,USD,12,2014,0,11074,705719140-000-000-000
145-000-000-000,USD,12,2014,0,40547,705719145-000-000-000
137-001-000-000,USD,12,2014,0,14103840,705719137-001-000-000
137-002-000-000,USD,12,2014,0,0,705719137-002-000-000
205-000-000-000,USD,12,2014,0,9866563,705719205-000-000-000
208-000-000-000,USD,12,2014,0,-1437653,705719208-000-000-000
290-001-000-000,USD,12,2014,0,5820334,705719290-001-000-000
290-004-000-000,USD,12,2014,0,797056,705719290-004-000-000
290-002-000-000,USD,12,2014,0,28748,705719290-002-000-000
310-000-000-000,USD,12,2014,0,145130,705719310-000-000-000
315-000-000-000,USD,12,2014,0,87774,705719315-000-000-000
320-000-000-000,USD,12,2014,0,202340,705719320-000-000-000
325-000-000-000,USD,12,2014,0,931,705719325-000-000-000
505-000-000-000,USD,12,2014,0,1339702,705719505-000-000-000
515-000-000-000,USD,12,2014,0,490833,705719515-000-000-000
520-000-000-000,USD,12,2014,0,769752,705719520-000-000-000
525-000-000-000,USD,12,2014,0,73556,705719525-000-000-000
530-000-000-000,USD,12,2014,0,27361062,705719530-000-000-000
535-000-000-000,USD,12,2014,0,-301018,705719535-000-000-000
536-000-000-000,USD,12,2014,0,77131,705719536-000-000-000
613-000-000-000,USD,12,2014,0,2309058,705719613-000-000-000
312-001-004-000,CRC,12,2014,0,3408432.21,705719312-001-000-000
312-001-005-000,CRC,12,2014,0,9933118,705719312-002-000-000
312-001-019-000,CRC,12,2014,0,87205775.87,705719312-003-000-000
312-001-020-000,CRC,12,2014,0,3733170,705719312-004-000-000
312-001-030-000,CRC,12,2014,0,18930912.09,705719312-005-000-000
312-002-001-000,CRC,12,2014,0,28677470.64,705719312-006-000-000
312-030-001-000,CRC,12,2014,0,3945836.94,705719312-007-000-000
312-003-000-000,CRC,12,2014,0,15469938.3,705719312-008-000-000
312-001-004-000,USD,12,2014,0,6391,705719312-001-000-000
312-001-005-000,USD,12,2014,0,18625,705719312-002-000-000
312-001-019-000,USD,12,2014,0,163518,705719312-003-000-000
312-001-020-000,USD,12,2014,0,7000,705719312-004-000-000
312-001-030-000,USD,12,2014,0,35497,705719312-005-000-000
312-002-001-000,USD,12,2014,0,53773,705719312-006-000-000
312-030-001-000,USD,12,2014,0,7399,705719312-007-000-000
312-003-000-000,USD,12,2014,0,29007,705719312-008-000-000
505-000-000-000,CRC,1,2015,0,0,705719505-000-000-000
515-000-000-000,CRC,1,2015,0,0,705719515-000-000-000
520-000-000-000,CRC,1,2015,0,0,705719520-000-000-000
525-000-000-000,CRC,1,2015,0,0,705719525-000-000-000
505-000-000-000,USD,1,2015,0,0,705719505-000-000-000
515-000-000-000,USD,1,2015,0,0,705719515-000-000-000
520-000-000-000,USD,1,2015,0,0,705719520-000-000-000
525-000-000-000,USD,1,2015,0,0,705719525-000-000-000
530-000-000-000,CRC,1,2015,1788269056,0,705719613-020-000-000
530-000-000-000,USD,1,2015,2309058,0,705719613-020-000-000
613-000-000-000,USD,1,2015,0,0,705719613-000-000-000
613-000-000-000,CRC,1,2015,0,0,705719613-000-000-000
