ano_saldo,mes_saldo,cuenta_contable_codigo,centro_costo_codigo,debito_fisc_local
2014,1,205-007-000-000,040-002-010,648536.77
2014,1,205-007-000-000,040-002-010,648536.77
2014,1,205-007-000-000,040-002-010,369787.58
2014,1,205-007-000-000,040-002-010,369787.57
2014,2,205-007-000-000,001-011-000,690817.75
2014,2,205-007-000-000,001-006-000,690817.75
2014,3,205-007-000-000,001-003-000,215525.63
2014,3,205-007-000-000,010-001-000,186725.66
2014,3,205-007-000-000,030-001-000,122500
2014,3,205-007-000-000,010-001-000,225016.11
2014,3,205-007-000-000,010-001-000,2726397.03
2014,3,205-007-000-000,010-001-000,2726397.04
2014,5,205-007-000-000,001-001-000,308992.85
2014,5,205-007-000-000,001-001-000,308992.85
2014,5,205-007-000-000,050-001-000,224224.9
2014,5,205-007-000-000,010-001-000,1219469.68
2014,5,205-007-000-000,040-021-006,2060000
2014,6,205-007-000-000,040-001-000,297824.86
2014,6,205-007-000-000,040-001-000,297824.85
2014,6,205-007-000-000,010-001-000,250000
2014,6,205-007-000-000,010-001-000,250000
2014,6,205-007-000-000,010-001-000,250000
2014,6,205-007-000-000,010-001-000,160000
2014,6,205-007-000-000,010-001-000,364589.71
2014,6,205-007-000-000,010-001-000,875811.04
2014,6,205-007-000-000,010-001-000,466464.96
2014,7,205-007-000-000,050-001-000,694534.4
2014,7,205-007-000-000,001-004-000,279030.51
2014,8,205-007-000-000,010-001-000,698825.16
2014,9,205-007-000-000,001-001-000,608727.16
2014,9,205-007-000-000,001-003-000,523751.2
2014,9,205-007-000-000,001-003-000,523751.2
2014,9,205-007-000-000,001-006-000,523751.2
2014,9,205-007-000-000,001-006-000,523751.2
2014,9,205-007-000-000,001-001-000,523751.2
2014,9,205-007-000-000,001-011-000,523751.2
2014,9,205-007-000-000,001-011-000,176365.2
2014,9,205-007-000-000,010-001-000,608727.16
2014,9,205-007-000-000,010-001-000,608727.16
2014,9,205-007-000-000,010-001-000,523751.2
2014,9,205-007-000-000,010-001-000,5300575.92
2014,9,205-007-000-000,010-001-000,4319344.08
2014,9,205-007-000-000,010-001-000,523751.2
2014,9,205-007-000-000,030-001-000,523751.2
2014,9,205-007-000-000,030-001-000,523751.2
2014,9,205-007-000-000,030-001-000,523751.2
2014,9,205-007-000-000,030-001-000,523751.2
2014,9,205-007-000-000,040-001-000,523751.2
2014,9,205-007-000-000,040-001-000,523751.2
2014,9,205-007-000-000,040-002-001,523751.2
2014,9,205-007-000-000,040-002-012,523751.2
2014,9,205-007-000-000,040-002-012,523751.2
2014,9,205-007-000-000,040-002-016,523751.2
2014,9,205-007-000-000,040-021-001,523751.2
2014,9,205-007-000-000,040-021-006,523751.2
2014,9,205-007-000-000,050-001-000,523751.2
2014,9,205-007-000-000,050-001-000,725235.08
2014,9,205-007-000-000,060-001-000,933666.68
2014,9,205-007-000-000,060-001-000,933666.68
2014,9,205-007-000-000,060-001-000,933666.68
2014,9,205-007-000-000,060-001-000,176365.2
2014,9,205-007-000-000,060-001-000,523751.2
2014,9,205-007-000-000,060-001-000,523751.2
2014,9,205-007-000-000,095-001-000,523751.2
2014,9,205-007-000-000,095-001-000,523751.2
2014,9,205-007-000-000,095-001-000,523751.2
2014,9,205-007-000-000,095-001-000,523751.2
2014,9,205-007-000-000,095-001-000,523751.2
2014,9,205-007-000-000,095-001-000,523751.2
2014,9,205-007-000-000,095-001-000,523751.2
2014,9,205-007-000-000,001-004-000,585819.94
2014,9,205-007-000-000,010-001-000,1118022.3
2014,10,205-007-000-000,001-001-000,389335.5
2014,10,205-007-000-000,001-006-000,512620.8
2014,11,205-007-000-000,010-001-000,341367673.3
2014,11,205-007-000-000,040-002-010,595455.79
2014,12,205-007-000-000,001-003-000,695811.6
2014,12,205-007-000-000,001-001-000,606199.5
2014,12,205-007-000-000,010-001-000,606199.5
2014,12,205-007-000-000,010-001-000,606199.5
2014,12,205-007-000-000,040-001-000,606199.5
2014,12,205-007-000-000,050-001-000,606199.5
2014,12,205-007-000-000,095-001-000,606199.5
2014,12,205-007-000-000,001-004-000,721113.84
2014,12,205-007-000-000,010-001-000,7855578
2014,12,205-007-000-000,010-001-000,1750660.78
2014,12,205-007-000-000,010-001-000,1750660.78
2014,12,205-007-000-000,010-001-000,1750660.78
2014,12,205-007-000-000,010-001-000,1750660.78
2014,12,205-007-000-000,010-001-000,1750660.78
2014,12,205-007-000-000,010-001-000,1661072.48
2014,12,205-007-000-000,010-001-000,1661072.48
2014,12,205-007-000-000,010-001-000,5272200
2015,2,205-007-000-000,030-001-000,585000
2015,2,205-007-000-000,001-001-000,1211043.6
2015,2,205-007-000-000,010-001-000,109300
2015,2,205-007-000-000,010-001-000,109300
2015,3,205-007-000-000,030-001-000,425000
2015,3,205-007-000-000,030-001-000,255000
2015,3,205-007-000-000,030-001-000,255000
2015,3,205-007-000-000,030-001-000,225000
2015,3,205-007-000-000,030-001-000,245000
2015,3,205-007-000-000,030-001-000,229005.75
2015,3,205-007-000-000,030-001-000,229005.75
2015,3,205-007-000-000,010-001-000,137446.4
2015,3,205-007-000-000,040-002-003,769132.93
