CentroCostoCodigo,centro_costo_desc,moneda,mes_saldo,ano_saldo,debitoFiscLocal,creditoFiscLocal
105-000-000-000,Caja y Bancos,CRC,12,2014,0,281154778
137-002-001-000,Inversiones Transitorias,CRC,12,2014,0,1424960450
120-000-000-000,Cuentas por Cobrar Servicios,CRC,12,2014,0,137399955
125-000-000-000,Cuentas por Cobrar Otros,CRC,12,2014,0,48277289
135-020-000-000,Intereses por Cobrar Fideicomiso,CRC,12,2014,0,131690070
135-021-000-000,Intereses por Cobrar PROCOMER,CRC,12,2014,0,8224763
130-000-000-000,Estimaci¢n para Incobrables,CRC,12,2014,0,-131831918
132-000-000-000,Estimaci¢n Impuesto Diferido,CRC,12,2014,0,45080445
140-000-000-000,Inventarios,CRC,12,2014,0,5744480
145-000-000-000,Gastos Pagados por Adelantado,CRC,12,2014,0,21623942
137-001-000-000,Inversiones Fideicomiso,CRC,12,2014,0,7521719184
137-002-000-000,Inversiones PROCOMER,CRC,12,2014,0,0
205-000-000-000,Propiedad Planta y Equipo,CRC,12,2014,0,4930791812
208-000-000-000,Depreciaci¢n Acumulada,CRC,12,2014,0,-680528702
290-001-000-000,Propiedades de Inversi¢n,CRC,12,2014,0,2931408459
290-004-000-000,Activos Intangibles,CRC,12,2014,0,417847606
290-002-000-000,Otros Activos,CRC,12,2014,0,15331346
310-000-000-000,Cuentas por Pagar Comerciales,CRC,12,2014,0,77399173
315-000-000-000,Retencioes por Pagar,CRC,12,2014,0,46810544
320-000-000-000,Gastos Acumulados por Pagar,CRC,12,2014,0,107909712
312-000-000-000,Otras Cuentas por Pagar,CRC,12,2014,0,171304654
325-000-000-000,Ingresos Diferidos,CRC,12,2014,0,496576
505-000-000-000,Aporde de Capital Corp. Zona Franca,CRC,12,2014,0,363313898
515-000-000-000,Aporte de Capital CENPRO,CRC,12,2014,0,133109079
520-000-000-000,Aporte de Capital Ventanilla énica,CRC,12,2014,0,208748958
525-000-000-000,Capital Donado Correo Electr¢nico,CRC,12,2014,0,21389396
530-000-000-000,Excedentes Acumulados,CRC,12,2014,0,14286123609
535-000-000-000,Valorizaci¢n Instrumentos Financieros,CRC,12,2014,0,-137115350
536-000-000-000,Estimaci¢n Impuesto Diferido,CRC,12,2014,0,41134608
613-000-000-000,Excedente del Periodo,CRC,12,2014,0,1788269104
105-000-000-000,Caja y Bancos,USD,12,2014,0,527188
137-002-001-000,Inversiones Transitorias,USD,12,2014,0,2671918
120-000-000-000,Cuentas por Cobrar Servicios,USD,12,2014,0,257636
125-000-000-000,Cuentas por Cobrar Otros,USD,12,2014,0,90524
135-020-000-000,Intereses por Cobrar Fideicomiso,USD,12,2014,0,246930
135-021-000-000,Intereses por Cobrar PROCOMER,USD,12,2014,0,15422
130-000-000-000,Estimaci¢n para Incobrables,USD,12,2014,0,-247196
132-000-000-000,Estimaci¢n Impuesto Diferido,USD,12,2014,0,84530
140-000-000-000,Inventarios,USD,12,2014,0,11074
145-000-000-000,Gastos Pagados por Adelantado,USD,12,2014,0,40547
137-001-000-000,Inversiones Fideicomiso,USD,12,2014,0,14103840
137-002-000-000,Inversiones PROCOMER,USD,12,2014,0,0
205-000-000-000,Propiedad Planta y Equipo,USD,12,2014,0,9866563
208-000-000-000,Depreciaci¢n Acumulada,USD,12,2014,0,-1437653
290-001-000-000,Propiedades de Inversi¢n,USD,12,2014,0,5820334
290-004-000-000,Activos Intangibles,USD,12,2014,0,797056
290-002-000-000,Otros Activos,USD,12,2014,0,28748
310-000-000-000,Cuentas por Pagar Comerciales,USD,12,2014,0,145130
315-000-000-000,Retencioes por Pagar,USD,12,2014,0,87774
320-000-000-000,Gastos Acumulados por Pagar,USD,12,2014,0,202340
312-000-000-000,Otras Cuentas por Pagar,USD,12,2014,0,321210
325-000-000-000,Ingresos Diferidos,USD,12,2014,0,931
505-000-000-000,Aporde de Capital Corp. Zona Franca,USD,12,2014,0,1339702
515-000-000-000,Aporte de Capital CENPRO,USD,12,2014,0,490833
520-000-000-000,Aporte de Capital Ventanilla énica,USD,12,2014,0,769752
525-000-000-000,Capital Donado Correo Electr¢nico,USD,12,2014,0,73556
530-000-000-000,Excedentes Acumulados,USD,12,2014,0,27361062
535-000-000-000,Valorizaci¢n Instrumentos Financieros,USD,12,2014,0,-301018
536-000-000-000,Estimaci¢n Impuesto Diferido,USD,12,2014,0,77131
613-000-000-000,Excedente del Periodo,USD,12,2014,0,2309058
