cuentacontablecodigo,cuenta_contable,moneda,mes_saldo,ano_saldo,creditofisclocal,debitofisclocal
105-000-000-000,705719105-000-000-000,CRC,12,2014,0,281154784
137-002-001-000,705719137-002-001-000,CRC,12,2014,0,1424960512
120-000-000-000,705719120-000-000-000,CRC,12,2014,0,137399952
125-000-000-000,705719125-000-000-000,CRC,12,2014,0,48277288
135-020-000-000,705719135-020-000-000,CRC,12,2014,0,131690072
135-021-000-000,705719135-021-000-000,CRC,12,2014,0,8224763
130-000-000-000,705719130-000-000-000,CRC,12,2014,0,-131831920
132-000-000-000,705719132-010-000-000,CRC,12,2014,0,45080444
140-000-000-000,705719140-000-000-000,CRC,12,2014,0,5744480
145-000-000-000,705719145-000-000-000,CRC,12,2014,0,21623942
137-001-000-000,705719137-001-000-000,CRC,12,2014,0,7521719296
137-002-000-000,705719137-002-000-000,CRC,12,2014,0,0
205-000-000-000,705719205-000-000-000,CRC,12,2014,0,4930791936
208-000-000-000,705719208-000-000-000,CRC,12,2014,0,-680528704
290-001-000-000,705719290-001-000-000,CRC,12,2014,0,2931408384
290-004-000-000,705719290-004-000-000,CRC,12,2014,0,417847616
290-002-000-000,705719290-002-000-000,CRC,12,2014,0,15331346
310-000-000-000,705719310-000-000-000,CRC,12,2014,0,77399176
315-000-000-000,705719315-000-000-000,CRC,12,2014,0,46810544
320-000-000-000,705719320-000-000-000,CRC,12,2014,0,107909712
325-000-000-000,705719325-000-000-000,CRC,12,2014,0,496576
505-000-000-000,705719505-000-000-000,CRC,12,2014,0,363313888
515-000-000-000,705719515-000-000-000,CRC,12,2014,0,133109080
520-000-000-000,705719520-000-000-000,CRC,12,2014,0,208748960
525-000-000-000,705719525-000-000-000,CRC,12,2014,0,21389396
530-000-000-000,705719530-000-000-000,CRC,12,2014,0,14286124032
535-000-000-000,705719535-000-000-000,CRC,12,2014,0,-137115344
536-000-000-000,705719536-000-000-000,CRC,12,2014,0,41134608
613-000-000-000,705719613-000-000-000,CRC,12,2014,0,1788269056
105-000-000-000,705719105-000-000-000,USD,12,2014,0,527188
137-002-001-000,705719137-002-001-000,USD,12,2014,0,2671918
120-000-000-000,705719120-000-000-000,USD,12,2014,0,257636
125-000-000-000,705719125-000-000-000,USD,12,2014,0,90524
135-020-000-000,705719135-020-000-000,USD,12,2014,0,246930
135-021-000-000,705719135-021-000-000,USD,12,2014,0,15422
130-000-000-000,705719130-000-000-000,USD,12,2014,0,-247196
132-000-000-000,705719132-010-000-000,USD,12,2014,0,84530
140-000-000-000,705719140-000-000-000,USD,12,2014,0,11074
145-000-000-000,705719145-000-000-000,USD,12,2014,0,40547
137-001-000-000,705719137-001-000-000,USD,12,2014,0,14103840
137-002-000-000,705719137-002-000-000,USD,12,2014,0,0
205-000-000-000,705719205-000-000-000,USD,12,2014,0,9866563
208-000-000-000,705719208-000-000-000,USD,12,2014,0,-1437653
290-001-000-000,705719290-001-000-000,USD,12,2014,0,5820334
290-004-000-000,705719290-004-000-000,USD,12,2014,0,797056
290-002-000-000,705719290-002-000-000,USD,12,2014,0,28748
310-000-000-000,705719310-000-000-000,USD,12,2014,0,145130
315-000-000-000,705719315-000-000-000,USD,12,2014,0,87774
320-000-000-000,705719320-000-000-000,USD,12,2014,0,202340
325-000-000-000,705719325-000-000-000,USD,12,2014,0,931
505-000-000-000,705719505-000-000-000,USD,12,2014,0,1339702
515-000-000-000,705719515-000-000-000,USD,12,2014,0,490833
520-000-000-000,705719520-000-000-000,USD,12,2014,0,769752
525-000-000-000,705719525-000-000-000,USD,12,2014,0,73556
530-000-000-000,705719530-000-000-000,USD,12,2014,0,27361062
535-000-000-000,705719535-000-000-000,USD,12,2014,0,-301018
536-000-000-000,705719536-000-000-000,USD,12,2014,0,77131
613-000-000-000,705719613-000-000-000,USD,12,2014,0,2309058
312-001-004-000,705719312-001-000-000,CRC,12,2014,0,3408432.21
312-001-005-000,705719312-002-000-000,CRC,12,2014,0,9933118
312-001-019-000,705719312-003-000-000,CRC,12,2014,0,87205775.87
312-001-020-000,705719312-004-000-000,CRC,12,2014,0,3733170
312-001-030-000,705719312-005-000-000,CRC,12,2014,0,18930912.09
312-002-001-000,705719312-006-000-000,CRC,12,2014,0,28677470.64
312-030-001-000,705719312-007-000-000,CRC,12,2014,0,3945836.94
312-003-000-000,705719312-008-000-000,CRC,12,2014,0,15469938.3
312-001-004-000,705719312-001-000-000,USD,12,2014,0,6391
312-001-005-000,705719312-002-000-000,USD,12,2014,0,18625
312-001-019-000,705719312-003-000-000,USD,12,2014,0,163518
312-001-020-000,705719312-004-000-000,USD,12,2014,0,7000
312-001-030-000,705719312-005-000-000,USD,12,2014,0,35497
312-002-001-000,705719312-006-000-000,USD,12,2014,0,53773
312-030-001-000,705719312-007-000-000,USD,12,2014,0,7399
312-003-000-000,705719312-008-000-000,USD,12,2014,0,29007
505-000-000-000,705719505-000-000-000,CRC,1,2015,0,0
515-000-000-000,705719515-000-000-000,CRC,1,2015,0,0
520-000-000-000,705719520-000-000-000,CRC,1,2015,0,0
525-000-000-000,705719525-000-000-000,CRC,1,2015,0,0
505-000-000-000,705719505-000-000-000,USD,1,2015,0,0
515-000-000-000,705719515-000-000-000,USD,1,2015,0,0
520-000-000-000,705719520-000-000-000,USD,1,2015,0,0
525-000-000-000,705719525-000-000-000,USD,1,2015,0,0
530-000-000-000,705719613-020-000-000,CRC,1,2015,1788269056,0
530-000-000-000,705719613-020-000-000,USD,1,2015,2309058,0
613-000-000-000,705719613-000-000-000,USD,1,2015,0,0
613-000-000-000,705719613-000-000-000,CRC,1,2015,0,0
