category,title
Resultados,Comparativo de Resultados
Resultados,Resultados
Ingresos,Ingresos Operativos
Ingresos,Gráfico Ingresos
Ingresos,Canon
Ingresos,Formularios
Ingresos,Otros Ingresos
Ingresos,Ingresos Financieros
Gastos,Gastos Operativos agrupados por Centro Costos (resumido)
Gastos,Gastos Operativos agrupados por Centro Costos (detallado)
Gastos,Gastos Operativos agrupados por Categoria Cuenta Contable
Gastos,Gastos Operativos vs. Salarios agrupados por Centro Costos
Gastos,Gastos Operativos Promocion Comercial
Gastos,Gastos Operativos OPCs Internacionales
Gastos,Gastos Operativos OPCs Regionales
Gastos,Gastos Operativos Convenio COMEX-PROCOMER
Posicion Financiera,Estado Posicion Financiera - EPF
Posicion Financiera,Activo Corriente
Posicion Financiera,Pasivo Corto Plazo
Posicion Financiera,Patrimonio
